Graduation,Division,Department,Student Last Name,Student First Name,Student Middle Name,Title,IR participation,Delayed release (to IR),Delayed release (to ProQuest),Publishing option
2016.03 Winter,Biological Sciences and Pritzker,Genetics,Bandlamudi,Chaitanya,,DISCOVERY AND CHARACTERIZATION OF NOVEL SOMATIC AND WIDESPREAD INHERITED POLYMORPHIC FUSION GENES IN HUMANS,Yes,2017-03-21,2017-03-21,Traditional Publishing
2016.03 Winter,Social Sciences,History,Murphy,Tessa,,"The Creole Archipelago: Colonization, Experimentation, and Community in the Southern Caribbean, c.1700-1796",Yes,2017-03-21,2017-03-21,Traditional Publishing
2016.03 Winter,Biological Sciences and Pritzker,Cancer Biology,Singhal,Hari,,Genomic Agonism and Phenotypic Antagonism between Estrogen and Progesterone Receptors Inform Breast Cancer Prognosis and Therapies,Yes,2017-03-21,2017-03-21,Open Access Publishing PLUS
2016.03 Winter,Biological Sciences and Pritzker,Computational Neuroscience,Vaidya,Mukta,,POPULATION DYNAMICS IN PRIMARY MOTOR CORTEX DURING COORDINATED REACH TO GRASP,Yes,2017-03-21,2017-03-21,Traditional Publishing
2016.06 Spring,Social Sciences,Psychology,Cable,Erin,,Circadian Influences on the Functional Regulation of The Reproductive and Immune Systems of Siberian Hamsters (Phodopus sungorus),Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Social Sciences,Psychology,Filippi,Courtney,,From action to abstraction: The development of early social cognition,Yes,,2017-06-20,Traditional Publishing
2016.06 Spring,Humanities,New Testament and Early Christian Literature,Gray,Allison,Leigh,Weaving Lives for Virtuous Readers: Gregory of Nyssa as Biographer,Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Physical Sciences,Chemistry,Henderson,James,Michael,Antimicrobial Peptides' Selectivity and Line Activity Governed by Membrane Properties,Yes,,2017-06-20,Traditional Publishing
2016.06 Spring,Humanities,Near Eastern Languages and Civilizations,Marcuson,Hannah,Leigh,"""Word of the Old Woman"": Studies in Female Ritual Practice in Hittite Anatolia",Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Biological Sciences and Pritzker,Evolutionary Biology,Stepien,Courtney,Cruise,The roles of evolutionary history and ecological interactions in the maintenance of a high-diversity macroalgal assemblage,Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Humanities,Near Eastern Languages and Civilizations,Topcuoglu,Oya,,Emblems of Power: Ideology and Identity in Late Old Assyrian Glyptic,Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Biological Sciences and Pritzker,Immunology,Wroblewska,Joanna,Alicja,The Lymphotoxin Pathway Mediates Protective Immunity Against a Bacterial Pathogen,Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.06 Spring,Humanities,Near Eastern Languages and Civilizations,Yadgar,Liran,,"""All the Kings of Arabia are Seeking Your Counsel and Advice"": Intellectual and Cultural Exchange between Jews and Muslims in the Later Middle Islamic Period",Yes,,2017-06-20,Traditional Publishing
2016.06 Spring,Biological Sciences and Pritzker,Public Health Sciences,Zhang,Chenan,,A Study of Telomere Length as a Prospective Biomarker of Cancer Risk,Yes,2017-06-20,2017-06-20,Traditional Publishing
2016.08 Summer,Institute for Molecular Engineering,Molecular Engineering,Christle,David,James,Single Defects in Semiconductors for Quantum Information Processing and Sensing,Yes,2017-02-28: Unpublished work is in Chapter 6 that I'd like to publish officially before it can be viewed by other research groups.,2017-02-28,Open Access Publishing PLUS
2016.08 Summer,Biological Sciences and Pritzker,Neurobiology,Clayton,Benjamin,Lawrence Lynner,The Integrated Stress Response in Hypoxia Induced Diffuse White Matter Injury,Yes,2017-08-31,2017-08-31,Traditional Publishing
2016.08 Summer,Biological Sciences and Pritzker,Biochemistry and Molecular Biology,Fuller,James,Richard,DNA Dynamics and Irreversibility Regulate Mu Transposition,Yes,,2017-08-31,Traditional Publishing
2016.08 Summer,Biological Sciences and Pritzker,Developmental Biology,Isabella,Adam,James,Mechanisms of Basement Membrane Remodeling and Their Contributions to Tissue Morphogenesis,Yes,2017-08-31,2017-08-31,Traditional Publishing
2016.08 Summer,Biological Sciences and Pritzker,Immunology,Lau,Denise,,Early Memory B Cells in Humans are Primed for Plasma Cell Differentiation and are Refractory to Reactivation,Yes,2017-08-31,2017-08-31,Traditional Publishing
2016.08 Summer,Physical Sciences,Chemistry,Lu,Kuangda,,Metal-Organic Frameworks for Biomedical Applications,Yes,2017-08-31,2017-08-31,Traditional Publishing
2016.08 Summer,Biological Sciences and Pritzker,Ecology and Evolution,Moulton,Orissa,Merritt,The Role of Nitrogen in Mediating Algal-Microbial Interactions in a Rocky Intertidal Ecosystem,Yes,2017-08-31,,Traditional Publishing
2016.08 Summer,Humanities,Near Eastern Languages and Civilizations,?en,Ahmet,Tunç,"Astrology in the Service of the Empire: Knowledge, Prognostication, and Politics at the Ottoman Court, 1450s–1550s",Yes,2017-08-31,2017-08-31,Traditional Publishing
2016.08 Summer,Physical Sciences,Geophysical Sciences,Trappitsch,Reto,,Deciphering Galactic Chemical Evolution: Iron and Nickel Isotopes and Cosmic Ray Exposure Ages of Presolar Silicon Carbide Grains,Yes,2017-02-28,2017-02-28,Traditional Publishing
2016.08 Summer,Biological Sciences and Pritzker,Molecular Genetics and Cell Biology,Wagner,Elizabeth,,Optogenetic analysis of RhoA-mediated furrow formation during cytokinesis,Yes,2017-08-31,2017-08-31,Traditional Publishing
2017.03 Winter,Physical Sciences,Chemistry,Malachosky,Edward,William,Solution and Substrate Assembly of Noble Metal Nanoparticles,Yes,2017-09-22,2017-09-22,Traditional Publishing
2017.03 Winter,Physical Sciences,Chemistry,Olechnowicz,Frank,,Synthesis and Reactivity of Low Coordinate Nickel Sulfide Complexes,Yes,2017-09-22,2017-09-22,Open Access Publishing PLUS
2017.03 Winter,Physical Sciences,Chemistry,Zhai,Feng,,Synthesis and Reactivity of Group 10 Metal Olefin Polymerization Catalysts Bearing ?-Diimine Ancillary Ligands,Yes,2017-09-22,2017-09-22,Traditional Publishing
